24800#Has_Direct_Object,17631#Has_Direct_Object,7254#Has_Status,7864#Has_Result,8741#Has_Preposition_Object,7802#Has_Preposition_Object,9443#Has_Manner,20#Has_Result,13249#Has_Direct_Object,17796#Has_Preposition_Object,9435#Has_Manner,17754#Has_Status,517#Has_Status,7833#Has_Direct_Object,19#Has_Type,7846#Has_Direct_Object,13283#Has_Preposition_Object,9939#Has_Direct_Object,7659#Has_Status,17796#Has_Location,7856#Has_Direct_Object,20#Has_Direct_Object,7802#Has_Manner,9462#Has_Direct_Object,13283#Has_Direct_Object,17601#Has_Status,7824#Has_Direct_Object,8741#Has_Direct_Object,20#Has_Constraint,7802#Has_Constraint,9443#Has_Direct_Object,7864#Has_Direct_Object,7864#Has_Manner,8744#Has_Direct_Object,20#Has_Preposition_Object,8635#Has_Purpose,9443#Has_Location,13961#Has_Purpose,1306#Has_Status,9443#Has_Temporal,8635#Has_Preposition_Object,17754#Has_Type,13215#Has_Direct_Object,17116#Has_Manner,9435#Has_Direct_Object,9702#Has_Direct_Object,7849#Has_Direct_Object,17796#Has_Direct_Object,13112#Has_Preposition_Object,9434#Has_Status,1501#Has_Status,7802#Has_Result,9701#Has_Status,7820#Has_Status,17631#Has_Preposition_Object,13078#Has_Direct_Object,7802#Has_Direct_Object,1514#Has_Status,8990#Has_Status,10749#Has_Direct_Object,24800#Has_Manner,8814#Has_Preposition_Object,19534#Has_Status,9435#Has_Location,14303#Has_Direct_Object,17116#Has_Preposition_Object,6139#Has_Status,13961#Has_Direct_Object,10749#Has_Temporal,action#Has_Event,7852#Has_Direct_Object,8635#Has_Constraint,9442#Has_Status,7864#Has_Preposition_Object,24800#Has_Preposition_Object,7823#Has_Status,20#Has_Direction,7802#Has_Location,8814#Has_Direct_Object,7833#Has_Result,7821#Has_Direct_Object,17507#Has_Status,1187#Has_Status,8635#Has_Direct_Object,13078#Has_Constraint,13112#Has_Direct_Object,17116#Has_Direct_Object,10749#Has_Manner,10749#Has_Location,9904#Has_Direct_Object,19#Has_Status,api_method
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14302,17116,6139,13961,10749,14303,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,14301
24800,17631,7254,13124,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,1501,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,511,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7864,7852,8635,9442,1501,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,47558
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,1501,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7864,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,7865
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,1501,13124,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,511,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7864,7852,8635,9442,1501,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,13123
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9886,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,9939,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,9938
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,1501,13114,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7864,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,47554
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,1501,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,511,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7864,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,13115
24800,17631,7254,7864,8741,7802,9443,20,13249,17630,9435,17754,517,7833,19,7846,13283,9939,7659,6523,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17754,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,17796,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,17795
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9434,9702,7849,17796,13112,29,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9438,14303,17116,6139,13961,10749,9435,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,9437
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,7846,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,9904,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9886,19,9905
24800,17631,7254,7864,8741,7802,9443,20,13249,17796,9435,17754,517,7833,19,6139,13283,9939,7659,17796,7856,20,7802,9462,13283,17601,7824,8741,20,7802,9443,7864,7864,8744,20,8635,9443,13961,1306,9443,8635,17754,13215,17116,9435,9702,7849,17796,13112,9434,1501,7802,9701,7820,17631,13078,7802,1514,8990,10749,24800,8814,19534,9435,14303,17116,6139,13961,10749,7846,7852,8635,9442,7864,24800,7823,20,7802,8814,7833,7821,17507,1187,8635,13078,13112,17116,10749,10749,9904,19,7845
